Generation 1: Best Fitness: 93.207043, Mean Fitness: 57.295597
Generation 2: Best Fitness: 92.818216, Mean Fitness: 62.442493
Generation 3: Best Fitness: 92.658358, Mean Fitness: 74.466656
Generation 4: Best Fitness: 92.932142, Mean Fitness: 70.965902
Generation 5: Best Fitness: 92.690612, Mean Fitness: 72.274624
Generation 6: Best Fitness: 93.409567, Mean Fitness: 77.505311
Generation 7: Best Fitness: 93.202788, Mean Fitness: 77.646939
Generation 8: Best Fitness: 93.202788, Mean Fitness: 80.239752
Generation 9: Best Fitness: 93.318596, Mean Fitness: 79.109685
Generation 10: Best Fitness: 93.409567, Mean Fitness: 78.434259
Generation 11: Best Fitness: 93.409567, Mean Fitness: 75.221069
Generation 12: Best Fitness: 92.690612, Mean Fitness: 78.511106
Generation 13: Best Fitness: 93.067281, Mean Fitness: 78.022228
Generation 14: Best Fitness: 92.937405, Mean Fitness: 81.768374
Generation 15: Best Fitness: 93.207043, Mean Fitness: 79.013889
Generation 16: Best Fitness: 92.846708, Mean Fitness: 78.503588
Generation 18: Best Fitness: 93.331940, Mean Fitness: 73.339406, Standard Deviation Fitness: 28.219607
Generation 19: Best Fitness: 92.890612, Mean Fitness: 80.194200, Standard Deviation Fitness: 23.240445
Generation 1: Best Fitness: 93.207043, Mean Fitness: 57.257291, Standard Deviation Fitness: 36.787161
Generation 2: Best Fitness: 93.209567, Mean Fitness: 64.876305, Standard Deviation Fitness: 32.563060
Generation 3: Best Fitness: 93.409567, Mean Fitness: 59.606667, Standard Deviation Fitness: 36.618564
Generation 4: Best Fitness: 93.207043, Mean Fitness: 67.896219, Standard Deviation Fitness: 30.078953
Generation 5: Best Fitness: 92.796054, Mean Fitness: 69.620236, Standard Deviation Fitness: 30.887490
Generation 6: Best Fitness: 93.202788, Mean Fitness: 73.360614, Standard Deviation Fitness: 26.739758
Generation 7: Best Fitness: 93.409567, Mean Fitness: 74.300314, Standard Deviation Fitness: 27.874803
Generation 8: Best Fitness: 93.002788, Mean Fitness: 79.206485, Standard Deviation Fitness: 22.416914
Generation 9: Best Fitness: 92.796054, Mean Fitness: 78.498606, Standard Deviation Fitness: 21.273965
Generation 10: Best Fitness: 93.336168, Mean Fitness: 79.108480, Standard Deviation Fitness: 18.901238
Generation 11: Best Fitness: 93.872124, Mean Fitness: 79.048068, Standard Deviation Fitness: 23.542252
Generation 12: Best Fitness: 92.690612, Mean Fitness: 78.882380, Standard Deviation Fitness: 23.527269
Generation 13: Best Fitness: 93.409567, Mean Fitness: 81.941190, Standard Deviation Fitness: 19.714594
Generation 14: Best Fitness: 92.690612, Mean Fitness: 80.812653, Standard Deviation Fitness: 19.707761
